minute,calls,unique_callers,top_caller_share,is_anomaly
124,22,5,0.1892003205457084,0
125,19,5,0.20163002020089882,0
126,14,5,0.1681238229402651,0
127,21,9,0.18709815082647324,0
128,24,9,0.14338502780287687,0
129,19,7,0.16477387622115916,0
130,16,8,0.14567932465841932,0
131,20,8,0.05,0
132,17,7,0.14722575208511632,0
133,20,8,0.22581166614669482,0
134,20,7,0.07004382637312587,0
135,20,4,0.8348357451288374,1
136,32,3,0.7256908451655258,1
137,26,6,0.7591889174571117,1
138,32,4,0.8422596149142765,1
139,30,4,0.6683693402190276,1
140,24,5,0.8202260134784091,1
141,24,3,0.6115301516987546,1
142,31,4,0.7390337743166517,1
143,26,1,0.7110628403165801,1
144,31,4,0.7764560445651145,1
145,25,4,0.7274891914759131,1
146,19,3,0.7822495461668462,1
147,30,2,0.7401670954758836,1
148,25,2,0.7890138619938635,1
149,28,3,0.9144074086897178,1
150,24,3,0.7119462921625118,1
151,22,3,0.6352728904613981,1
152,25,4,0.5673758007967362,1
153,25,4,0.7911671192552432,1
154,30,4,0.7003709021971558,1
155,17,8,0.12263600818312392,0
156,16,11,0.1344637867691403,0
157,18,4,0.19257010461894142,0
158,17,8,0.19843115781522105,0
159,17,8,0.22618937050969043,0
160,12,6,0.10477290581064644,0
161,19,7,0.09693686835267047,0
162,18,6,0.13246053774135655,0
163,20,9,0.20276654982732073,0
164,21,6,0.14983520398363231,0
165,27,9,0.12797477205632374,0
166,24,7,0.11657990158483658,0
167,24,6,0.05431112098658217,0
168,22,8,0.1563682739268578,0
169,18,7,0.12709450485843116,0
170,18,7,0.129327438059115,0
171,17,7,0.05,0
172,22,8,0.14575455837520837,0
173,20,8,0.11379991016978505,0
174,18,8,0.1603751742579568,0
175,26,10,0.1966506070194175,0
176,17,7,0.09989766381856327,0
177,20,3,0.12706903615285003,0
178,19,5,0.18988681572893173,0
179,16,8,0.2891888711744526,0
